id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,longitude,latitude
106196,Thu Jul 26 2012 12:05:09 GMT-0700 (PDT),7/26/12,7/26/12 14:05,Pacific Time (US & Canada),933,chriswbrown,7/26/12 22:30,1/19/15 19:27,research,CC-BY-NC,http://www.inaturalist.org/observations/106196,https://inaturalist-open-data.s3.amazonaws.com/photos/152724/medium.jpg,NA,NA,NA,2,0,FALSE,NA,"2600 Kadema Dr, Sacramento, California, US",5,5,NA,NA,FALSE,NA,NA,Valley Oak (Quercus lobata),Quercus lobata,valley oak,Plantae,49011,-121.401084,38.5629
124994,9/16/12 17:20,9/16/12,9/16/12 19:20,Pacific Time (US & Canada),5692,justin2,9/19/12 8:43,7/13/17 23:07,research,CC-BY,http://www.inaturalist.org/observations/124994,https://inaturalist-open-data.s3.amazonaws.com/photos/177131/medium.JPG?1444790840,NA,NA,"Walnut tree on American River banks.

Valley oak woodland wildlife habitat.",1,0,FALSE,NA,American River,NA,10000,NA,open,FALSE,NA,NA,Northern California black walnut (Juglans hindsii),Juglans hindsii,northern California black walnut,Plantae,54502,-121.454167,38.5915
147229,11/10/12 16:15,11/10/12,11/10/12 18:15,Pacific Time (US & Canada),5692,justin2,11/12/12 14:52,7/13/17 23:07,research,CC-BY,http://www.inaturalist.org/observations/147229,https://inaturalist-open-data.s3.amazonaws.com/photos/203054/medium.JPG?1444793733,NA,NA,Valley Oak,1,0,FALSE,NA,"American River, Sacramento",NA,NA,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.452568,38.595909
541672,2/22/14 18:07,2/22/14,2/22/14 20:07,Pacific Time (US & Canada),5692,justin2,2/23/14 22:54,7/13/17 23:13,research,CC-BY,http://www.inaturalist.org/observations/541672,https://inaturalist-open-data.s3.amazonaws.com/photos/687963/medium.jpg?1444456500,NA,NA,Oak leaf,1,0,FALSE,NA,"Sacramento, California, United States",NA,NA,NA,NA,FALSE,NA,NA,Valley oak,Quercus lobata,valley oak,Plantae,49011,-121.420556,38.565102
580472,3/23/14 8:19,3/23/14,3/23/14 10:19,Pacific Time (US & Canada),5692,justin2,3/23/14 23:39,7/13/17 23:14,research,CC-BY,http://www.inaturalist.org/observations/580472,https://inaturalist-open-data.s3.amazonaws.com/photos/738326/medium.jpg?1444500795,NA,NA,Unfocused oak leaves,1,0,FALSE,NA,"Sacramento, California, United States",NA,NA,NA,NA,FALSE,NA,NA,Valley Oak (Quercus lobata),Quercus lobata,valley oak,Plantae,49011,-121.4075,38.55883
581968,3/24/14 19:05,3/24/14,3/24/14 21:05,Pacific Time (US & Canada),5692,justin2,3/24/14 22:48,7/13/17 23:14,research,CC-BY,http://www.inaturalist.org/observations/581968,https://inaturalist-open-data.s3.amazonaws.com/photos/739870/medium.jpg?1444501857,NA,NA,Valley oak,1,0,FALSE,NA,"Sacramento, California, United States",NA,NA,NA,NA,FALSE,NA,NA,Valley oak,Quercus lobata,valley oak,Plantae,49011,-121.401673,38.560086
726141,5/31/14 11:52,5/31/14,5/31/14 13:52,Pacific Time (US & Canada),36646,jandgschoefer2,6/8/14 21:59,7/13/17 23:19,research,CC-BY-NC,http://www.inaturalist.org/observations/726141,https://inaturalist-open-data.s3.amazonaws.com/photos/912061/medium.jpg?1402282769,NA,NA,"Valley oak in oak savannah at Consumnes River Preserve.
Joanne",1,0,FALSE,NA,"Consumnes River Preserve, 13501 Franklin Blvd., Galt, Ca 95632",190,190,NA,NA,FALSE,NA,NA,Valley Oak (Quercus lobata),Quercus lobata,valley oak,Plantae,49011,-121.440421,38.266116
811731,7/27/14 18:38,7/27/14,7/27/14 20:38,Pacific Time (US & Canada),5692,justin2,8/1/14 10:00,7/13/17 23:21,research,CC-BY,http://www.inaturalist.org/observations/811731,https://inaturalist-open-data.s3.amazonaws.com/photos/1023499/medium.JPG?1444768455,NA,NA,Blue oak,1,0,FALSE,NA,"Folsom Lake State Recreation Area, Sacramento County, US-CA, US",NA,NA,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.207078,38.647867
826679,Sun Aug 10 2014 10:16:29 GMT-0700 (PDT),8/10/14,8/10/14 12:16,Pacific Time (US & Canada),47660,tonycullen,8/11/14 10:51,7/13/17 23:21,research,CC-BY-NC,http://www.inaturalist.org/observations/826679,https://static.inaturalist.org/photos/1043240/medium.jpg?1407772700,NA,NA,NA,1,0,FALSE,3,NA,5,5,NA,NA,FALSE,NA,NA,NA,Quercus lobata,valley oak,Plantae,49011,-121.322723,38.600553
900040,9/28/14 12:02,9/28/14,9/28/14 14:02,Pacific Time (US & Canada),5692,justin2,9/28/14 18:06,7/13/17 23:22,research,CC-BY,http://www.inaturalist.org/observations/900040,https://inaturalist-open-data.s3.amazonaws.com/photos/1146068/medium.JPG?1444774043,NA,NA,Valley oak,2,0,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Valley oak,Quercus lobata,valley oak,Plantae,49011,-121.390992,38.563147
911996,10/5/14 16:43,10/5/14,10/5/14 18:43,Pacific Time (US & Canada),642,biosam,10/6/14 17:58,7/13/17 23:22,research,CC-BY-NC,http://www.inaturalist.org/observations/911996,https://inaturalist-open-data.s3.amazonaws.com/photos/1163227/medium.JPG,NA,NA,NA,2,0,FALSE,NA,Gibson Ranch County Park,1105,1105,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.403655,38.722533
919700,10/11/14 11:27,10/11/14,10/11/14 13:27,Pacific Time (US & Canada),5692,justin2,10/11/14 21:53,7/13/17 23:22,research,CC-BY,http://www.inaturalist.org/observations/919700,https://inaturalist-open-data.s3.amazonaws.com/photos/1175105/medium.JPG?1444775006,NA,NA,Valley oak,2,0,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Valley oak,Quercus lobata,valley oak,Plantae,49011,-121.476517,38.6029849
1032802,10/23/14 14:48,10/23/14,10/23/14 16:48,Pacific Time (US & Canada),32455,paloma,10/23/14 20:36,1/30/19 21:37,research,CC0,http://www.inaturalist.org/observations/1032802,https://inaturalist-open-data.s3.amazonaws.com/photos/1295597/medium.JPG?1414114580,NA,NA,NA,2,0,FALSE,NA,"Ancil Hoffman Park/Effie Yeaw Nature Center, CA, US",NA,NA,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.3047381,38.61573306
