id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
5347,"November 23, 2007 15:57",2007-11-23,2007-11-23 17:57:00 -0600,Pacific Time (US & Canada),354,folini,2010-02-11 19:19:41 -0600,2020-06-27 19:02:13 -0500,research,CC-BY,http://www.inaturalist.org/observations/5347,https://inaturalist-open-data.s3.amazonaws.com/photos/10031/medium.jpg?1444277264,,"","Galls on Canyon live oak (<i>Quercus chrysolepis</i>) induced by a cybnipid wasp (<i>Andricus spectabilis</i> or <i>Disholcaspis spectabilis</i>).<br/>
<a href=""http://www.co.sanmateo.ca.us/smc/department/home/0,,5556687_12313317_12345100,00.html"" rel=""nofollow"">San Pedro Valley Park</a><br/>
Pacifica, CA
_______________
Reference: <a href=""http://www.ucpress.edu/books/pages/10412.html"" rel=""nofollow"">Field Guide to PLANT GALLS of California and Other Western Sates</a> by Ron Russo- ISBN 978-0-520-24886-1",1,0,false,,"San Pedro Valley Park, San Mateo Co., CA",37.5739440918,-122.4665374756,,,,,false,,,canyon live oak,Quercus chrysolepis,canyon live oak,Plantae,51092
8871,2010-11-05,2010-11-05,,Pacific Time (US & Canada),477,loarie,2010-11-05 20:37:47 -0500,2020-12-11 18:07:46 -0600,research,CC0,http://www.inaturalist.org/observations/8871,https://inaturalist-open-data.s3.amazonaws.com/photos/18999/medium.jpg?1444296335,,"","",1,0,false,,"California, US",37.7651138306,-122.4374237061,,,,,false,,,Quercus lobata,Quercus lobata,valley oak,Plantae,49011
14611,"April 16, 2011 12:42:24 PM PDT",2011-04-16,2011-04-16 14:42:24 -0500,Pacific Time (US & Canada),1,kueda,2011-04-16 19:54:29 -0500,2017-11-05 21:56:42 -0600,research,CC0,http://www.inaturalist.org/observations/14611,https://inaturalist-open-data.s3.amazonaws.com/photos/28561/medium.jpg,,"",Possible blue oak hybrid,1,0,false,,"Lake Lagunitas, Stanford, CA, USA",37.4218597412,-122.1739349365,162,162,,,false,,,Valley Oak,Quercus lobata,valley oak,Plantae,49011
15128,"April 22, 2011 3:41:09 PM PDT",2011-04-22,2011-04-22 17:41:09 -0500,Pacific Time (US & Canada),535,moke,2011-04-22 19:22:30 -0500,2017-07-13 23:04:06 -0500,research,,http://www.inaturalist.org/observations/15128,https://static.inaturalist.org/photos/29321/medium.jpg,,"","Field observation coordinates:
38.602657318115234, -122.74935913085938",1,0,false,,Pepperwood Preserve,38.5727052,-122.6953133,,,,,false,,,valley oak (Quercus lobata),Quercus lobata,valley oak,Plantae,49011
16226,2011-04-21,2011-04-21,,Pacific Time (US & Canada),382,tsoleau,2011-05-05 17:33:51 -0500,2021-01-11 18:45:32 -0600,research,,http://www.inaturalist.org/observations/16226,https://inaturalist-open-data.s3.amazonaws.com/photos/30930/medium.jpg?1444315239,,"",Loved seeing the change from only one month before (see: http://www.inaturalist.org/observations/12692),1,0,false,,"Malibu Creek State Park, Malibu, CA",34.0999077606,-118.7239480019,,,,,false,,,Quercus lobata,Quercus lobata,valley oak,Plantae,49011
18515,"May 27, 2011 8:05:14 AM PDT",2011-05-27,2011-05-27 10:05:14 -0500,Pacific Time (US & Canada),1421,tewksjj,2011-05-27 10:46:19 -0500,2019-05-04 23:21:09 -0500,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/18515,https://inaturalist-open-data.s3.amazonaws.com/photos/33898/medium.jpg,,"","California live oak? Not sure how many there are here, in a. Valley, many large oaks here",4,0,false,,"1271 Veronica Springs Rd, Santa Barbara, CA 93105, USA",34.4182395935,-119.7420043945,,,,,false,,,coast live oak,Quercus agrifolia,coast live oak,Plantae,47850
20383,2011-06-05,2011-06-05,,Hawaii,462,barbarab,2011-06-05 22:07:09 -0500,2017-07-13 23:04:30 -0500,research,,http://www.inaturalist.org/observations/20383,https://static.inaturalist.org/photos/36235/medium.JPG,,"Fagaceae, oak, Quercus","",1,0,false,,"Guadalupe Oak Grove Park, San Jose, CA",37.2357883,-121.8797421,,,,,false,,,valley oak,Quercus lobata,valley oak,Plantae,49011
21235,"June 12, 2011 5:57:33 PM PDT",2011-06-12,2011-06-12 19:57:33 -0500,Pacific Time (US & Canada),1,kueda,2011-06-12 22:10:29 -0500,2016-03-01 11:05:18 -0600,research,CC0,http://www.inaturalist.org/observations/21235,https://inaturalist-open-data.s3.amazonaws.com/photos/37420/medium.jpg,,"","",1,0,false,,"Fernandez Ranch, Contra Costa County, CA, USA",37.9902458191,-122.2071075439,47,47,,,false,,,Quercus lobata,Quercus lobata,valley oak,Plantae,49011
21335,2011-06-13,2011-06-13,,Pacific Time (US & Canada),549,bob-dodge,2011-06-13 14:26:48 -0500,2017-07-13 23:04:33 -0500,research,CC-BY-NC,http://www.inaturalist.org/observations/21335,https://inaturalist-open-data.s3.amazonaws.com/photos/37567/medium.JPG,,"","",1,0,false,,"JRBP, STANFORD, CA",37.4049953427,-122.2409763341,,,,,false,,,valley oak,Quercus lobata,valley oak,Plantae,49011
25145,2011-07-12,2011-07-12,,Pacific Time (US & Canada),851,mcclellanranch,2011-07-16 01:27:42 -0500,2017-07-13 23:04:47 -0500,research,,http://www.inaturalist.org/observations/25145,https://static.inaturalist.org/photos/45347/medium.JPG,,"Fagaceae, oak, Quercus","",2,0,false,,"Stevens Creek County Park, Santa Clara County, CA",37.3047472124,-122.0721817017,,,,,false,,,valley oak,Quercus lobata,valley oak,Plantae,49011
35525,"October 12, 2011 8:22:21 AM PDT",2011-10-12,2011-10-12 10:22:21 -0500,Pacific Time (US & Canada),477,loarie,2011-10-12 13:13:43 -0500,2017-07-13 23:05:08 -0500,research,CC0,http://www.inaturalist.org/observations/35525,https://inaturalist-open-data.s3.amazonaws.com/photos/60193/medium.jpg?1444428629,,"","",1,0,false,,"13439 Cook Ln, Healdsburg, CA  95448, , United States",38.6037979126,-122.7401123047,5,5,,,false,,,Valley oak,Quercus lobata,valley oak,Plantae,49011
39933,2011-11-22,2011-11-22,,Pacific Time (US & Canada),549,bob-dodge,2011-11-22 17:00:33 -0600,2017-07-13 23:05:20 -0500,research,CC-BY-NC,http://www.inaturalist.org/observations/39933,https://inaturalist-open-data.s3.amazonaws.com/photos/66402/medium.JPG,,"",A granary tree. Q. lobata used by the Acorn Woodpeckers for many years. Many of the holes are so large that the nuts no longer fit snugly into the holes,1,0,false,,"Jasper Ridge, Stanford, CA",37.4080889738,-122.2431993488,,,,,false,,,valley oak (Quercus lobata),Quercus lobata,valley oak,Plantae,49011
40449,2011-11-26,2011-11-26,,Pacific Time (US & Canada),3161,greenrosettas,2011-11-28 13:30:24 -0600,2016-03-01 10:29:47 -0600,research,CC-BY-NC,http://www.inaturalist.org/observations/40449,https://inaturalist-open-data.s3.amazonaws.com/photos/67001/medium.JPG,,"wild grape, vinca, vitis, grapes",Kaweah Oaks Preserve just outside of Farmersville is an excellent example of habitat that existed in the central valley prior to the agricultural revolution. Also a working example of farmland being reclaimed by nature in the midst of a highly productive farming area. ,1,0,false,,"Kaweah Oaks Preserve, Exeter, CA",36.3375124698,-119.170589447,,,,,false,,,California wild grape,Vitis californica,California wild grape,Plantae,63923
40454,2011-11-26,2011-11-26,,Pacific Time (US & Canada),3161,greenrosettas,2011-11-28 14:38:05 -0600,2020-02-23 18:18:23 -0600,research,CC-BY-NC,http://www.inaturalist.org/observations/40454,https://inaturalist-open-data.s3.amazonaws.com/photos/67027/medium.JPG,,"Kaweah Oaks Preserve, Valley oaks",Valley oaks at the Kaweah Oaks Preserve. ,2,0,false,,"Kaweah Oaks Preserve, Exeter, CA",36.3315143355,-119.1687870026,,,,,false,,,valley oak,Quercus lobata,valley oak,Plantae,49011
40836,2011-12-01,2011-12-01,,Pacific Time (US & Canada),549,bob-dodge,2011-12-02 10:30:30 -0600,2017-07-13 23:05:24 -0500,research,CC-BY-NC,http://www.inaturalist.org/observations/40836,https://inaturalist-open-data.s3.amazonaws.com/photos/67753/medium.JPG,,"",large specimen with the largest leaves due in part from its' location near a drainage. Great color this year,2,0,false,,"Jasper Ridge, Stanford, CA",37.4063811006,-122.2429053784,,,,,false,,,valley oak,Quercus lobata,valley oak,Plantae,49011
50007,"January 26, 2012 3:34:20 PM PST",2012-01-26,2012-01-26 17:34:20 -0600,Pacific Time (US & Canada),3286,markham,2012-01-31 19:11:56 -0600,2017-07-13 23:05:40 -0500,research,CC-BY-NC,http://www.inaturalist.org/observations/50007,https://static.inaturalist.org/photos/79825/medium.jpg,,"",Black oaks similarly deciduous but pointed at the end,1,0,false,,"37.40025329589844, -122.21720886230469",37.4002532959,-122.2172088623,50,50,,,false,,,Quercus lobata,Quercus lobata,valley oak,Plantae,49011
50796,2012-02-04,2012-02-04,,Hawaii,462,barbarab,2012-02-05 12:17:05 -0600,2020-01-14 17:24:11 -0600,research,CC-BY,http://www.inaturalist.org/observations/50796,https://static.inaturalist.org/photos/80774/medium.JPG,,"","",2,0,false,,"San Benito County, CA",36.6166299036,-120.9841918945,,,,,false,,,valley oak,Quercus lobata,valley oak,Plantae,49011
